web_scraper_order,web_scraper_start_url,price,name,location,image
"1765197157-31","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Vaches","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1765197157-32","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chaton Persan","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935403_uploaded_image1_1586726495.69.png"
"1765197157-33","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png"
"1765197157-34","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chat Siamois","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png"
"1765197157-35","https://sn.coinafrique.com/categorie/autres-animaux?page=6","30 000CFA","Dindon rouge","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
"1765197157-36","https://sn.coinafrique.com/categorie/autres-animaux?page=6","350 000CFA","Chat siamois","Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1765197157-37","https://sn.coinafrique.com/categorie/autres-animaux?page=6","600 000CFA","Bœuf","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png"
"1765197157-38","https://sn.coinafrique.com/categorie/autres-animaux?page=6","750 000CFA","Boeufs","Tambacounda, Sénégal","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png"
"1765197157-39","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Couple de chèvre","Dakar, Sénégal","https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png"
"1765197157-40","https://sn.coinafrique.com/categorie/autres-animaux?page=6","275 000CFA","Vaches","Rufisque, Sénégal","https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png"
"1765197157-41","https://sn.coinafrique.com/categorie/autres-animaux?page=6","700 000CFA","Bœuf","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png"
"1765197157-42","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Dindes - canards et colverts","Dakar, Sénégal","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png"
